fertilizer_cont,shade_cont,table,block,rep,spp,chl_wt,chl_area,focal.area,dry.wt,fresh.wt,sla,stem.wt,leaves.wt,roots.wt,nod.wt,n.leaf,c.leaf,Aamb,TPU,Vcmax,Jmax,Tleaf,TleafK,vcmax25,jmax25,jv25,marea,nmass,narea,tla,biomass,vcmax25_narea,jmax25_narea,avg_649,avg_665,chla_ug.ml,chlb_ug.ml,chla_g.ml,chlb_g.ml,chla_g,chlb_g,chla_g.m2,chlb_g.m2,chla_mol.m2,chlb_mol.m2,chla_mmol.m2,chlb_mmol.m2,chl_marea,chla_mmol.g,chlb_mmol.g,chl_mmol.g,chl_mmol.m2,chl_mmol.m2_narea,propN_rubisco,propN_bioenergetics,propN_lightharvesting,propN_photosynthesis
70,50,1,one,6,Soybean,0.0146,1.755,31.3,0.0571,0.2343,548.1611208,0.8,0.8,0.3361,0.0092,5.08298504,40.3725419,11.62128812,14.20190226,57.06970948,80.44510023,25.08303343,298.2330334,56.62861369,80.02190259,1.413100152,18.2428115,0.05082985,0.92727938,309.549,1.9361,61.06963547,86.29751114,0.0892,0.371,4.21475,-0.012212,4.21E-06,-1.22E-08,4.21E-05,-1.22E-07,0.240156695,-0.00069584,0.000268779,-7.67E-07,0.268778967,0.268778967,83.19088319,0.00323087,0.00323087,0.006461741,0.537557935,0.579715183,0.476641057,0.068633904,0.046227246,0.591502207
70,80,2,one,6,Soybean,0.01,1.866,19.173,0.0248,0.134,773.1048387,0.3387,0.3628,0.0473,0.005,5.105974235,41.71825302,7.968343003,10.10488974,50.06206475,54.83780591,27.63562317,300.7856232,39.36018231,46.65551949,1.185348155,12.93485631,0.051059742,0.66045043,247.998,0.7488,59.59596738,70.64196999,0.070666667,0.215666667,2.385176667,0.406613333,2.39E-06,4.07E-07,2.39E-05,4.07E-06,0.127822972,0.02179064,0.000143057,2.40E-05,0.143057126,0.143057126,53.59056806,0.002669446,0.002669446,0.005338892,0.286114252,0.433210788,0.465139258,0.056182781,0.038022425,0.559344464
210,0,3,one,6,Soybean,0.0207,2.095,10.677,0.0377,0.1385,283.2095491,0.7074,0.8962,0.4789,0,5.26040666,42.84032866,11.09122011,16.81977315,67.0411429,94.44726523,25.04773607,298.1977361,66.7426726,94.16118252,1.41080929,35.30954388,0.052604067,1.857425598,253.609,2.0825,35.93289157,50.69445723,0.130666667,0.373333333,4.100133333,0.887226667,4.10E-06,8.87E-07,4.10E-05,8.87E-06,0.195710422,0.042349722,0.000219036,4.67E-05,0.219035513,0.219035513,98.80668258,0.002216809,0.002216809,0.004433617,0.438071027,0.235848492,0.280451837,0.040318179,0.030648287,0.351418302
210,30,4,one,6,Soybean,0.0189,2.029,28.533,0.0888,0.346,321.3175676,1.1924,1.7212,0.57,0.0072,4.240691326,41.75809855,12.46412113,19.12910706,94.97659661,105.9855692,27.59583959,300.7458396,74.9372446,90.38235738,1.206107295,31.1218589,0.042406913,1.319781971,587.818,3.4836,56.78001841,68.48279442,0.134666667,0.417333333,4.622693333,0.741106667,4.62E-06,7.41E-07,4.62E-05,7.41E-06,0.227831115,0.036525711,0.000254984,4.03E-05,0.254984405,0.254984405,93.14933465,0.002737372,0.002737372,0.005474745,0.50996881,0.386403831,0.443161119,0.054465552,0.046945558,0.544572229
210,50,1,one,6,Soybean,0.0165,2.012,19.619,0.0495,0.2096,396.3434343,0.8174,1.0813,0.3405,8.00E-04,5.451841452,40.88751485,8.994298402,11.85918187,52.55136103,68.12666879,25.18075425,298.3307543,51.6718799,67.34978787,1.303412765,25.23064377,0.054518415,1.375534695,436.987,2.2392,37.56494116,48.96262384,0.102666667,0.306,3.37594,0.62972,3.38E-06,6.30E-07,3.38E-05,6.30E-06,0.167790258,0.031298211,0.000187788,3.45E-05,0.187787779,0.187787779,82.00795229,0.002289873,0.002289873,0.004579746,0.375575558,0.273039684,0.293189785,0.038940822,0.03054678,0.362677387
210,80,2,one,6,Soybean,0.0104,1.719,26.538,0.0419,0.1658,633.3651551,0.6247,0.6996,0.1588,0.0053,5.574379444,42.65066258,9.220671046,12.22930433,55.52950578,65.05597052,26.91579355,300.0657935,46.56236897,57.76928512,1.240686125,15.78868038,0.055743794,0.880120954,349.062,1.4831,52.90451133,65.63789314,0.088666667,0.267,2.94883,0.52934,2.95E-06,5.29E-07,2.95E-05,5.29E-06,0.171543339,0.030793485,0.000191988,3.39E-05,0.191988158,0.191988158,60.50029087,0.003173343,0.003173343,0.006346685,0.383976316,0.436276758,0.412913259,0.052202952,0.04140166,0.506517872
630,0,3,one,6,Soybean,0.0214,2.05,38.039,0.1214,0.474,313.3360791,1.4131,1.8715,0.6398,0.0144,4.420214673,40.93900746,15.61354627,20.79870913,90.11245123,115.3340075,25.10077361,298.2507736,89.26798074,114.5982061,1.283754882,31.91461395,0.044202147,1.410694448,587.241,3.9244,63.27945845,81.23531373,0.090333333,0.27,2.97965,0.55003,2.98E-06,5.50E-07,2.98E-05,5.50E-06,0.14534878,0.026830732,0.000162672,2.96E-05,0.162671689,0.162671689,104.3902439,0.001558304,0.001558304,0.003116607,0.325343377,0.230626396,0.493888456,0.064607851,0.02563929,0.584135598
630,30,4,one,6,Soybean,0.0176,1.959,26.538,0.0755,0.2643,351.4966887,1.3439,1.9124,0.6629,0.0175,4.270199825,42.5707256,11.21625065,17.71905793,62.0233335,94.244304,26.48388299,299.633883,54.08340937,85.91033599,1.588478555,28.44977014,0.042701998,1.214862035,679.282,3.9192,44.51814924,70.71612539,0.117333333,0.358333333,3.963283333,0.673826667,3.96E-06,6.74E-07,3.96E-05,6.74E-06,0.202311554,0.034396461,0.000226423,3.79E-05,0.226423379,0.226423379,89.841756,0.002520247,0.002520247,0.005040493,0.452846758,0.372755708,0.347458726,0.056241758,0.042923205,0.446623689
630,50,1,one,6,Soybean,0.0131,1.91,22.762,0.0533,0.2196,427.054409,1.5812,1.8608,0.3882,8.00E-04,5.333931076,43.12920617,11.43882679,14.15732285,56.87468721,72.29461958,25.12094516,298.2709452,56.23571598,71.74156149,1.275729494,23.41622002,0.053339311,1.249005036,754.489,3.8302,45.02441091,57.43896894,0.11,0.324333333,3.574123333,0.693446667,3.57E-06,6.93E-07,3.57E-05,6.93E-06,0.187126876,0.036306108,0.000209429,4.00E-05,0.209428967,0.209428967,68.58638743,0.003053506,0.003053506,0.006107013,0.418857934,0.335353278,0.351410036,0.045682206,0.041634056,0.438726299
630,80,2,one,6,Soybean,0.0128,2.021,8.543,0.021,0.0683,406.8095238,0.5366,0.6,0.0835,0.0036,5.686083234,41.49076641,6.869212737,12.29396351,42.72451142,65.95872799,27.37501759,300.5250176,34.37903425,56.98576837,1.657573274,24.58152874,0.056860832,1.397726184,361.728,1.2201,24.59640138,40.77033758,0.121333333,0.354666667,3.904786667,0.781293333,3.90E-06,7.81E-07,3.90E-05,7.81E-06,0.193210622,0.03865875,0.000216238,4.26E-05,0.216237783,0.216237783,63.33498268,0.003414192,0.003414192,0.006828384,0.432475567,0.309413655,0.191971913,0.032425355,0.043668876,0.268066144
0,0,3,one,7,Soybean,0.0183,1.83,19.974,0.0541,0.215,369.2051756,0.5864,0.8427,0.4256,0.1105,4.789632147,42.82647076,15.08877342,20.28435857,127.6163672,127.1496942,26.85393402,300.003934,107.6074714,113.3300588,1.053180206,27.08521077,0.047896321,1.297281962,281.811,1.8547,82.94840634,87.35961966,0.131,0.369666667,4.054286667,0.914063333,4.05E-06,9.14E-07,4.05E-05,9.14E-06,0.221545719,0.049948816,0.00024795,5.50E-05,0.247949905,0.247949905,100,0.002479499,0.002479499,0.004958998,0.49589981,0.382260622,0.647402196,0.069478618,0.037649489,0.754530302
0,30,4,one,7,Soybean,0.0157,1.923,26.818,0.0635,0.2595,422.3307087,0.9284,1.3467,0.4317,0.1357,5.452630048,42.65603297,9.558158139,18.09824363,91.69235707,112.5911411,27.91328299,301.063283,70.34407827,94.25329629,1.339889563,23.67812663,0.0545263,1.291080647,577.191,2.7068,54.48465084,73.00341499,0.138333333,0.435333333,4.829463333,0.725976667,4.83E-06,7.26E-07,4.83E-05,7.26E-06,0.251142139,0.037752297,0.000281074,4.16E-05,0.281073675,0.281073675,81.64326573,0.003442705,0.003442705,0.00688541,0.562147349,0.435408392,0.425246055,0.058060879,0.045918857,0.529225792
0,50,1,one,7,Soybean,0.0129,1.832,18.699,0.0374,0.1538,499.973262,0.504,0.5582,0.1105,0.0441,6.362797927,43.45179501,11.75848742,14.92177084,75.19565799,83.33441933,26.86889912,300.0188991,63.32014536,74.20992493,1.171979699,20.00106958,0.063627979,1.27262764,288.502,1.1727,49.75543777,58.31236299,0.116666667,0.349333333,3.855873333,0.707046667,3.86E-06,7.07E-07,3.86E-05,7.07E-06,0.210473435,0.03859425,0.000235558,4.25E-05,0.235558007,0.235558007,70.41484716,0.003345289,0.003345289,0.006690578,0.471116015,0.370191563,0.388335124,0.046376832,0.038236911,0.472948867
0,80,2,one,7,Soybean,0.0104,1.721,25.71,0.0369,0.1761,696.7479675,0.5727,0.6075,0.123,0.0502,5.94729512,43.48519774,8.55333413,11.0435144,56.02974872,61.06688243,27.36650586,300.5165059,45.11959279,52.78601986,1.169913481,14.35239206,0.059472951,0.853579113,322.815,1.3032,52.85929811,61.84080545,0.092666667,0.297,3.30073,0.4577,3.30E-06,4.58E-07,3.30E-05,4.58E-06,0.1917914,0.026595003,0.000214649,2.93E-05,0.214649417,0.214649417,60.42998257,0.003552035,0.003552035,0.00710407,0.429298833,0.502939712,0.412560375,0.049183063,0.043436523,0.505179962
70,0,3,one,7,Soybean,0.0176,1.883,31.045,0.0815,0.3439,380.9202454,1.0013,1.038,0.6795,0.0748,4.540244004,42.63455767,13.96737663,18.97707526,102.3786874,120.1105472,27.2231912,300.3731912,83.50668868,104.7111111,1.253924839,26.25221453,0.04540244,1.191914596,376.554,2.7188,70.06096658,87.85118622,0.111666667,0.325666667,3.584626667,0.723003333,3.58E-06,7.23E-07,3.58E-05,7.23E-06,0.190367853,0.038396353,0.000213056,4.23E-05,0.213056208,0.213056208,93.46787042,0.002279459,0.002279459,0.004558919,0.426112417,0.357502474,0.5468173,0.069869569,0.036513205,0.653200074
70,30,4,one,7,Soybean,0.0136,1.73,49.483,0.097,0.4419,510.1340206,0.9242,1.1914,0.2925,0.1017,5.025733841,42.99817104,15.15151109,18.17527174,104.9421619,107.0548038,26.86589267,300.0158927,88.39283012,95.35039963,1.078711922,19.60269183,0.050257338,0.985179117,574.821,2.4081,89.72259823,96.78483634,0.089666667,0.298666667,3.331396667,0.382863333,3.33E-06,3.83E-07,3.33E-05,3.83E-06,0.192566281,0.022130829,0.000215517,2.44E-05,0.215516649,0.215516649,78.61271676,0.002741499,0.002741499,0.005482997,0.431033299,0.437517697,0.700273937,0.076974655,0.039672159,0.816920752
70,50,1,one,7,Soybean,0.0116,1.644,31.83,0.0519,0.2403,613.2947977,0.5371,0.5287,0.136,0.0457,5.529288675,43.46466869,14.19437745,18.96238751,101.6055434,117.0818257,27.28611613,300.4361161,82.41063619,101.689191,1.233932848,16.30537229,0.055292887,0.901571103,303.623,1.2018,91.40780563,112.791094,0.045333333,0.135333333,1.493313333,0.276906667,1.49E-06,2.77E-07,1.49E-05,2.77E-06,0.090834144,0.016843471,0.00010166,1.86E-05,0.101659908,0.101659908,70.55961071,0.001440766,0.001440766,0.002881533,0.203319816,0.225517228,0.713426776,0.089704709,0.018950539,0.822082024
70,80,2,one,7,Soybean,0.0105,1.809,21.476,0.0285,0.1537,753.5438596,0.4396,0.4835,0.0981,0.016,5.940766119,42.8156002,8.105761177,10.06233194,46.99433981,55.64692932,27.03414281,300.1841428,38.98764508,49.06382051,1.258445346,13.27062768,0.059407661,0.788376953,286.434,1.0212,49.45305027,62.23396097,0.091,0.281666667,3.119566667,0.502623333,3.12E-06,5.03E-07,3.12E-05,5.03E-06,0.172447024,0.027784596,0.000193,3.06E-05,0.192999546,0.192999546,58.04311774,0.003325106,0.003325106,0.006650213,0.385999092,0.489612349,0.385975027,0.049495746,0.040706185,0.476176958
210,0,3,one,7,Soybean,0.0195,1.932,32.925,0.0911,0.3901,361.4160263,1.3717,NA,0.8622,0.0169,5.141562743,43.33272692,13.91693905,22.65817776,106.0890377,136.4337436,27.66753108,300.8175311,83.17458265,115.8597782,1.39297096,27.66894457,0.051415627,1.422616146,522.113,NA,58.46593468,81.44134914,0.14,0.41,4.5149,0.8974,4.51E-06,8.97E-07,4.51E-05,8.97E-06,0.233690476,0.046449275,0.000261542,5.12E-05,0.261542094,0.261542094,100.931677,0.002591279,0.002591279,0.005182557,0.523084188,0.367691727,0.45631949,0.064771715,0.036653569,0.557744774
210,30,4,one,7,Soybean,0.0177,1.954,20.188,0.0603,0.211,334.7927032,1.1284,1.6815,0.5584,0.0116,4.540549849,42.58429741,8.142645532,15.14663692,62.24835495,83.54999929,27.74491202,300.894912,48.47006044,70.6305169,1.457198862,29.86922924,0.045405498,1.356227243,733.397,3.3683,35.73889308,52.07867432,0.141,0.426666667,4.714616667,0.830723333,4.71E-06,8.31E-07,4.71E-05,8.31E-06,0.24128028,0.042513988,0.000270036,4.68E-05,0.270036463,0.270036463,90.58341863,0.00298108,0.00298108,0.005962161,0.540072925,0.398217134,0.278937702,0.041419071,0.047748811,0.368105584
210,50,1,one,7,Soybean,0.0165,1.75,12.756,0.0344,0.1394,370.8139535,1.2689,1.5112,0.4453,0.0334,5.041817065,42.06431755,7.917106479,15.31985419,55.22216675,85.27521696,27.18952815,300.3395282,45.17884152,74.49138351,1.64881128,26.96770147,0.050418171,1.359662175,742.205,3.2254,33.22799027,54.78668517,0.101,0.296,3.25979,0.64627,3.26E-06,6.46E-07,3.26E-05,6.46E-06,0.186273714,0.036929714,0.000208474,4.07E-05,0.208474124,0.208474124,94.28571429,0.002211089,0.002211089,0.004422178,0.416948247,0.306655767,0.259340412,0.043572799,0.03189455,0.334807761
210,80,2,one,7,Soybean,0.0131,1.909,15.767,0.0243,0.1261,648.8477366,0.7521,0.834,0.174,0.0034,5.185491558,41.76680285,7.368721659,11.13269951,38.43142372,57.55727273,26.89772757,300.0477276,32.27792048,51.16615634,1.585175116,15.41193632,0.051854916,0.799184657,456.983,1.7601,40.38856377,64.02294626,0.079,0.247333333,2.742443333,0.421396667,2.74E-06,4.21E-07,2.74E-05,4.21E-06,0.143658635,0.02207421,0.00016078,2.43E-05,0.160780108,0.160780108,68.62231535,0.002342971,0.002342971,0.004685942,0.321560217,0.402360348,0.315227815,0.050918557,0.032860512,0.399006884
630,0,3,one,7,Soybean,0.0191,1.716,38.393,0.108,0.4678,355.4907407,1.0918,1.2857,0.7501,0.0213,5.667507171,43.06088602,18.83270371,25.65143215,131.6588068,147.9441495,26.24651114,299.3965111,117.3182492,136.8388468,1.16639012,28.13012789,0.056675072,1.594277015,422.196,3.1276,73.58711698,85.83128619,0.113,0.335333333,3.697863333,0.700896667,3.70E-06,7.01E-07,3.70E-05,7.01E-06,0.215493201,0.040844794,0.000241176,4.50E-05,0.241176037,0.241176037,111.3053613,0.002166796,0.002166796,0.004333592,0.482352075,0.302552235,0.574338474,0.068263107,0.027805025,0.670406607
630,30,4,one,7,Soybean,0.0166,1.948,39.343,0.0898,0.3851,438.1180401,1.0089,1.3638,0.6416,0.0052,5.684039162,43.77219718,10.01070247,17.82957326,93.3798991,106.4459595,28.02624839,301.1762484,70.93093492,88.52885343,1.248099345,22.82489896,0.056840392,1.297376196,537.096,3.0143,54.67260394,68.23684118,0.141333333,0.442333333,4.904443333,0.754706667,4.90E-06,7.55E-07,4.90E-05,7.55E-06,0.251768138,0.038742642,0.000281774,4.27E-05,0.281774281,0.281774281,85.21560575,0.003306604,0.003306604,0.006613208,0.563548563,0.4343756,0.426713006,0.054269941,0.042307996,0.523290943
630,50,1,one,7,Soybean,0.0152,2.025,9.342,0.022,0.0887,424.6363636,0.6147,0.7204,0.1982,0.0017,6.343012451,43.2732741,7.137073665,13.34172962,53.13763993,79.84246584,27.3290302,300.4790302,42.93408204,69.16912888,1.611054099,23.54956112,0.063430125,1.493751594,360.715,1.5333,28.74245103,46.30564355,0.105666667,0.3147,3.471643,0.649406,3.47E-06,6.49E-07,3.47E-05,6.49E-06,0.17143916,0.032069432,0.000191872,3.53E-05,0.191871563,0.191871563,75.0617284,0.002556184,0.002556184,0.005112367,0.383743127,0.25689889,0.224331325,0.03682768,0.029308513,0.290467518
630,80,2,one,7,Soybean,0.0103,1.759,47.846,0.062,0.3397,771.7096774,0.7188,0.7919,0.1284,0,5.88444972,42.17007126,7.706769665,10.5146224,60.48341651,64.6965083,26.95597888,300.1059789,50.53289216,57.31128605,1.134138253,12.95824102,0.058844497,0.762521178,386.267,1.6391,66.27080486,75.16025487,0.079,0.263333333,2.937483333,0.336276667,2.94E-06,3.36E-07,2.94E-05,3.36E-06,0.166997347,0.019117491,0.0001869,2.11E-05,0.186900367,0.186900367,58.55599773,0.003191823,0.003191823,0.006383646,0.373800734,0.490216856,0.51723555,0.059776252,0.039448475,0.616460276
0,0,3,one,8,Soybean,0.016,1.768,16.932,0.0383,0.1749,442.0887728,0.1192,0.2565,0.096,0,5.496047512,42.29523381,14.98181596,19.10861613,84.36765613,108.3793419,25.01100733,298.1610073,84.28087123,108.3035233,1.285030894,22.61989133,0.054960475,1.243199975,111.102,0.4717,67.79349496,87.11673544,0.118333333,0.348,3.83387,0.75079,3.83E-06,7.51E-07,3.83E-05,7.51E-06,0.216847851,0.042465498,0.000242692,4.68E-05,0.242692136,0.242692136,90.49773756,0.002681748,0.002681748,0.005363496,0.485384273,0.390431373,0.529119961,0.069285447,0.035486634,0.633892042
0,30,4,one,8,Soybean,0.0167,1.915,32.597,0.085,0.3096,383.4941176,0.4087,0.6051,0.2032,0.0016,4.279667441,43.04727193,17.23165622,21.60037508,98.20311391,125.7224805,24.95624458,298.1062446,98.60587357,126.0729279,1.278553938,26.07601927,0.042796674,1.115966907,215.263,1.217,88.35913771,112.9719234,0.146333333,0.409333333,4.484923333,1.040216667,4.48E-06,1.04E-06,4.48E-05,1.04E-05,0.234199652,0.054319408,0.000262112,5.99E-05,0.262111954,0.262111954,87.20626632,0.003005655,0.003005655,0.00601131,0.524223908,0.469748614,0.689632294,0.089848526,0.051077121,0.830557942
0,50,1,one,8,Soybean,0.0118,1.642,32.152,0.0597,0.2682,538.559464,0.3669,0.5491,0.0815,0.0036,5.268912884,43.1889801,14.77491539,17.25377813,75.13751973,97.44978179,24.95611818,298.1061182,75.446573,97.72220616,1.29525043,18.56805175,0.052689129,0.978334471,235.147,0.9975,77.11736142,99.88629558,0.087666667,0.245,2.6841,0.62439,2.68E-06,6.24E-07,2.68E-05,6.24E-06,0.163465286,0.038026188,0.000182947,4.19E-05,0.182947349,0.182947349,71.863581,0.002545759,0.002545759,0.005091518,0.365894699,0.373997554,0.601891601,0.0794413,0.035139336,0.716472237
0,80,2,one,8,Soybean,0.012,1.872,16.501,0.0248,0.1207,665.3629032,0.307,0.324,0.0408,0.0057,5.390775489,43.24414074,8.441607109,10.61275554,41.45304248,55.39503165,24.96819501,298.118195,41.57653942,55.50721263,1.335060912,15.02939216,0.053907755,0.810200789,184.244,0.6718,51.31634034,68.51044014,0.106333333,0.278666667,3.030096667,0.855763333,3.03E-06,8.56E-07,3.03E-05,8.56E-06,0.161864138,0.045713853,0.000181155,5.04E-05,0.181155374,0.181155374,64.1025641,0.002826024,0.002826024,0.005652048,0.362310748,0.447186368,0.400517778,0.054487539,0.038126056,0.493131373
70,0,3,one,8,Soybean,0.0188,1.983,33.817,0.0982,0.3446,344.3686354,0.9601,1.2508,0.6674,0.0682,4.228441849,44.09904794,17.47577718,24.9894063,102.7552185,133.8438471,24.997739,298.147739,102.7769458,133.8630911,1.302462241,29.0386492,0.042284418,1.227882395,404.822,2.8783,83.70259743,109.0194726,0.164,0.447,4.88313,1.22832,4.88E-06,1.23E-06,4.88E-05,1.23E-05,0.246249622,0.061942511,0.000275598,6.83E-05,0.275598059,0.275598059,94.80584972,0.002906973,0.002906973,0.005813946,0.551196118,0.448899765,0.653288565,0.086705073,0.049998613,0.789992252
70,30,4,one,8,Soybean,0.016,1.9,36.025,0.0788,0.346,457.1700508,0.4225,0.6257,0.1288,0.0349,4.461644814,42.74259249,18.57621859,23.35530828,118.0084724,141.7360864,27.09531818,300.2453182,97.36577141,124.5112398,1.278798884,21.87369882,0.044616448,0.975926749,206.711,1.177,99.76749947,127.582567,0.104333333,0.316,3.49209,0.61317,3.49E-06,6.13E-07,3.49E-05,6.13E-06,0.183794211,0.032272105,0.000205699,3.56E-05,0.205699109,0.205699109,84.21052632,0.002442677,0.002442677,0.004885354,0.411398217,0.421546205,0.778673167,0.101468624,0.039816982,0.919958772
70,50,1,one,8,Soybean,0.0141,1.865,15.118,0.0289,0.1392,523.1141869,0.3788,0.4866,0.0379,9.00E-04,5.095804976,42.48479274,10.49112971,18.093892,49.1764179,89.79537652,25.91878065,299.0687806,45.15771684,84.7552087,1.87687099,19.11628522,0.05095805,0.974128614,236.493,0.9033,46.35703768,87.00617919,0.098,0.260666667,2.839426667,0.768273333,2.84E-06,7.68E-07,2.84E-05,7.68E-06,0.152248079,0.041194281,0.000170393,4.54E-05,0.170393257,0.170393257,75.60321716,0.002253783,0.002253783,0.004507566,0.340786513,0.349837289,0.361811026,0.06919752,0.032165968,0.463174514
70,80,2,one,8,Soybean,0.0141,2,23.097,0.0359,0.1613,643.3704735,0.1573,0.2383,0.0846,0,4.759308039,42.62139661,12.7566586,13.9065417,62.04162907,80.54461329,24.97995572,298.1299557,62.15804124,80.64735783,1.297456551,15.54314413,0.04759308,0.739746108,128.656,0.4802,84.02618216,109.0203205,0.126666667,0.345666667,3.776676667,0.946453333,3.78E-06,9.46E-07,3.78E-05,9.46E-06,0.188833833,0.047322667,0.000211339,5.21E-05,0.211339362,0.211339362,70.5,0.002997721,0.002997721,0.005995443,0.422678724,0.571383505,0.655814105,0.086705748,0.045808362,0.788328214
210,0,3,one,8,Soybean,0.0209,2.019,24.414,0.0732,0.2844,333.5245902,1.2728,1.5026,0.7747,0.0394,4.361212674,42.45113279,17.52425509,25.16260825,100.554143,147.9726772,26.24588123,299.3958812,89.60673414,136.8705387,1.527458176,29.98279675,0.043612127,1.307613532,431.229,3.5501,68.52692477,104.6720115,0.16,0.390333333,4.206163333,1.441826667,4.21E-06,1.44E-06,4.21E-05,1.44E-05,0.208329041,0.071412911,0.000233158,7.87E-05,0.233158041,0.233158041,103.5165924,0.002252374,0.002252374,0.004504747,0.466316081,0.356616133,0.534844291,0.083247462,0.037560422,0.655652176
210,30,4,one,8,Soybean,0.0194,2.017,52.587,0.1314,0.5608,400.2054795,1.0252,1.648,0.7693,0.0411,4.765113091,42.76368218,12.68370845,21.06761788,73.66754751,115.8945264,25.0156044,298.1656044,73.56014852,115.779613,1.573944797,24.98716413,0.047651131,1.190666629,516.033,3.4425,61.78064182,97.23931973,0.133,0.375333333,4.116463333,0.927896667,4.12E-06,9.28E-07,4.12E-05,9.28E-06,0.204088415,0.046003801,0.000228412,5.07E-05,0.22841201,0.22841201,96.18244918,0.002374778,0.002374778,0.004749557,0.45682402,0.383670802,0.482190375,0.077336114,0.036244924,0.595771413
210,50,1,one,8,Soybean,0.0183,1.985,18.269,0.0485,0.1916,376.6804124,1.2021,1.5268,0.3999,0.0224,4.653690201,42.16560261,8.428486947,13.03840658,44.62469508,72.57368107,25.07164135,298.2216413,44.326923,72.24411068,1.629802066,26.54770376,0.046536902,1.235447888,636.978,3.1288,35.87923329,58.47604853,0.12,0.343333333,3.771233333,0.812266667,3.77E-06,8.12E-07,3.77E-05,8.12E-06,0.189986566,0.040920235,0.000212629,4.51E-05,0.212629479,0.212629479,92.19143577,0.002306391,0.002306391,0.004612782,0.425258958,0.344214404,0.28003304,0.046507013,0.036043979,0.362584033
210,80,2,one,8,Soybean,0.015,1.93,10.002,0.0194,0.0891,515.5670103,0.4821,0.6549,0.0806,0.0052,5.490679597,42.16179131,6.557944353,11.31628499,42.3333648,65.17445237,27.77374634,300.9237463,32.87922964,55.00380461,1.672904299,19.39612078,0.054906796,1.064978846,361.929,1.2176,30.87312933,51.64779077,0.104,0.288666667,3.160046667,0.751253333,3.16E-06,7.51E-07,3.16E-05,7.51E-06,0.163732988,0.038925043,0.000183247,4.29E-05,0.183246956,0.183246956,77.72020725,0.002357778,0.002357778,0.004715555,0.366493913,0.344132575,0.240961009,0.041076382,0.031230146,0.313267538
630,0,3,one,8,Soybean,0.0199,2.031,34.082,0.09822,0.3602,346.9965384,0.7083,0.8836,0.321,0.0032,5.156809885,43.15636418,17.41066062,25.83118737,107.2035099,147.9333722,24.95796716,298.1079672,107.6258337,148.3294683,1.378195765,28.81873129,0.051568099,1.486127184,293.808,1.9129,72.42033851,99.80940385,0.154,0.462333333,5.104543333,0.926846667,5.10E-06,9.27E-07,5.10E-05,9.27E-06,0.251331528,0.045634991,0.000281286,5.03E-05,0.281285635,0.281285635,97.98129,0.00287081,0.00287081,0.005741619,0.562571271,0.378548536,0.56523191,0.079380146,0.040487465,0.685099521
630,30,4,one,8,Soybean,0.0199,1.918,45.561,0.0971,0.4549,469.2173018,0.5404,0.8677,0.2058,0.0039,5.570176505,42.20826325,15.43629748,22.18308048,83.84533966,119.3926482,24.99537595,298.145376,83.8816023,119.4277591,1.423765829,21.31208709,0.055701765,1.187120868,348.844,1.6139,70.65969824,100.6028639,0.12,0.335,3.66965,0.8566,3.67E-06,8.57E-07,3.67E-05,8.57E-06,0.191326903,0.044661105,0.00021413,4.92E-05,0.21412956,0.21412956,103.7539103,0.002063822,0.002063822,0.004127643,0.42825912,0.360754436,0.551490328,0.080011199,0.026946384,0.658447911
630,50,1,one,8,Soybean,0.0119,1.526,21.216,0.0364,0.1472,582.8571429,0.1308,0.1619,0.0266,0,5.398389911,41.61729372,10.20273441,14.73639792,51.92652841,77.16546563,24.98789912,298.1378991,51.98532363,77.22487052,1.485512932,17.15686274,0.053983899,0.926194347,79.778,0.3193,56.12787832,83.37868908,0.104,0.306,3.37134,0.65904,3.37E-06,6.59E-07,3.37E-05,6.59E-06,0.220926606,0.043187418,0.000247257,4.76E-05,0.247257004,0.247257004,77.98165138,0.003170707,0.003170707,0.006341415,0.494514008,0.533920347,0.438071245,0.066312515,0.042715867,0.547099627
630,80,2,one,8,Soybean,0.0123,1.611,21.513,0.0345,0.1746,623.5652174,0.4961,0.607,0.0557,0.0035,5.163156741,42.3234584,8.236063079,10.40526634,44.12280379,55.87773837,24.96467771,298.1146777,44.26881969,56.00343019,1.2650762,16.03681495,0.051631567,0.828005892,311.903,1.1588,53.46437763,67.63651169,0.113666667,0.287,3.10638,0.97269,3.11E-06,9.73E-07,3.11E-05,9.73E-06,0.192823091,0.060378026,0.000215804,6.65E-05,0.215804066,0.215804066,76.35009311,0.002826507,0.002826507,0.005653014,0.431608133,0.521262151,0.417282947,0.053792488,0.039813655,0.51088909
0,30,12,three,1,Cotton,0.0224,1.805,36.096,0.1439,0.5008,250.8408617,0.6457,0.7286,0.2551,0,2.11175645,40.9944065,7.175791803,9.708186707,37.4080242,57.84459311,24.93486364,298.0848636,37.63668195,58.08484493,1.543304083,39.86591312,0.021117565,0.841870992,200.771,1.6294,44.70599691,68.99494756,0.126666667,0.296333333,3.175303333,1.208906667,3.18E-06,1.21E-06,3.18E-05,1.21E-05,0.175917082,0.066975439,0.000196883,7.38E-05,0.196883171,0.196883171,124.099723,0.001586492,0.001586492,0.003172983,0.393766342,0.467727652,0.348924854,0.054872876,0.054637555,0.458435285
