fertilizer_cont,shade_cont,table,block,rep,spp,chl_wt,chl_area,focal.area,dry.wt,fresh.wt,sla,stem.wt,leaves.wt,roots.wt,nod.wt,n.leaf,c.leaf,Aamb,TPU,Vcmax,Jmax,Tleaf,TleafK,vcmax25,jmax25,jv25,marea,nmass,narea,tla,biomass,vcmax25_narea,jmax25_narea,avg_649,avg_665,chla_ug.ml,chlb_ug.ml,chla_g.ml,chlb_g.ml,chla_g,chlb_g,chla_g.m2,chlb_g.m2,chla_mol.m2,chlb_mol.m2,chla_mmol.m2,chlb_mmol.m2,chl_marea,chla_mmol.g,chlb_mmol.g,chl_mmol.g,chl_mmol.m2,chl_mmol.m2_narea,propN_rubisco,propN_bioenergetics,propN_lightharvesting,propN_photosynthesis
70,30,12,three,7,Soybean,0.0179,1.908,45.089,0.1084,0.4789,415.9501845,1.22,1.5552,0.8217,0.1911,5.111911377,41.55360905,14.25832837,21.60866854,100.7927501,116.0645886,26.96357742,300.1135774,84.15303419,102.7686312,1.221211239,24.04134046,0.051119114,1.228972018,279.202,3.5969,68.47432891,83.62162007,0.112666667,0.345666667,3.824976667,0.638593333,3.82E-06,6.39E-07,3.82E-05,6.39E-06,0.200470475,0.033469252,0.000224363,3.69E-05,0.224362878,0.224362878,93.81551363,0.002391533,0.002391533,0.004783066,0.448725756,0.365122842,0.534433787,0.066505722,0.034024388,0.634963897
70,50,9,three,7,Soybean,0.0129,1.856,43.048,0.0744,0.3657,578.6021505,0.8718,0.915,0.3829,0.0865,6.391629474,52.23060078,13.31226817,16.67169311,84.99522695,95.68186339,26.46202229,299.6120223,74.2622188,87.33738103,1.176067487,17.28303289,0.063916295,1.104667424,456.815,2.1697,67.22586106,79.06214947,0.115666667,0.373333333,4.151883333,0.557376667,4.15E-06,5.57E-07,4.15E-05,5.57E-06,0.223700611,0.03003107,0.000250362,3.31E-05,0.250361619,0.250361619,69.50431034,0.003602102,0.003602102,0.007204204,0.500723239,0.453279628,0.524689647,0.062879496,0.040986584,0.628555727
70,80,10,three,7,Soybean,0.0112,1.777,22.585,0.0305,0.1466,740.4918033,0.6153,0.5283,0.118,0.0287,5.408390406,44.23778019,6.758835928,9.58821357,40.41441719,53.44619826,27.72295543,300.8729554,31.53010283,45.23969497,1.434809623,13.50453841,0.054083904,0.73037816,330.553,1.2616,43.16955869,61.94009824,0.066333333,0.220333333,2.457013333,0.286496667,2.46E-06,2.86E-07,2.46E-05,2.86E-06,0.138267492,0.016122491,0.000154746,1.78E-05,0.15474644,0.15474644,63.02757456,0.002455218,0.002455218,0.004910436,0.309492881,0.42374334,0.336933141,0.049262032,0.033015611,0.419210784
70,0,11,three,7,Soybean,0.0179,1.944,36.981,0.0926,0.3982,399.362851,0.6758,1.0013,0.4821,0.1424,4.322399514,39.59369815,16.0604561,23.02916647,121.7397013,126.8837054,26.6939085,299.8439085,104.1492582,114.1936728,1.096442498,25.03988534,0.043223995,1.082323882,370.076,2.1592,96.22744162,105.5078564,0.147666667,0.451,4.98824,0.84787,4.99E-06,8.48E-07,4.99E-05,8.48E-06,0.256596708,0.043614712,0.000287178,4.81E-05,0.287178328,0.287178328,92.0781893,0.003118853,0.003118853,0.006237706,0.574356656,0.530669853,0.751043447,0.083912224,0.052476793,0.887432464
210,30,12,three,7,Soybean,0.0152,1.872,48.875,0.119,0.4901,410.7142857,1.6781,2.0572,1.0908,0.0656,4.415650234,40.28359985,15.05381754,22.18953804,87.84895729,119.0050279,26.57437595,299.724376,75.97511848,107.8842284,1.419994211,24.34782609,0.044156502,1.07511484,802.006,4.8261,70.66697964,100.346702,0.123666667,0.389,4.31526,0.64995,4.32E-06,6.50E-07,4.32E-05,6.50E-06,0.230516026,0.034719551,0.000257989,3.83E-05,0.257989307,0.257989307,81.1965812,0.003177342,0.003177342,0.006354684,0.515978614,0.479928836,0.551547158,0.079807469,0.052331912,0.683686539
210,50,9,three,7,Soybean,0.0154,1.958,41.161,0.077,0.4004,534.5584416,1.2964,1.5364,0.5927,0.0104,5.078861155,39.56861051,12.26571354,16.5670212,86.23943726,93.64417421,27.0686129,300.2186129,71.32490773,82.39549018,1.155213414,18.7070285,0.050788612,0.950104004,654.192,3.4255,75.07063171,86.72260076,0.107333333,0.337,3.73773,0.56742,3.74E-06,5.67E-07,3.74E-05,5.67E-06,0.190895301,0.028979571,0.000213647,3.19E-05,0.213646519,0.213646519,78.65168539,0.002716363,0.002716363,0.005432726,0.427293038,0.44973291,0.585917126,0.068971985,0.038897237,0.693786348
210,80,10,three,7,Soybean,0.0106,1.773,21.874,0.0309,0.1578,707.8964401,0.5916,0.5293,0.1944,0.0085,5.185977656,41.11994411,7.204745281,10.17200424,38.94000224,52.38891646,27.19134399,300.341344,31.85275,45.75890058,1.436576138,14.12636006,0.051859777,0.732589876,330.729,1.3153,43.47964805,62.4618249,0.160666667,0.097266667,0.631380667,3.015601333,6.31E-07,3.02E-06,6.31E-06,3.02E-05,0.035610867,0.170084678,3.99E-05,0.000187427,0.039855029,0.039855029,59.785674,0.000666632,0.000666632,0.001333264,0.079710057,0.108805841,0.339353351,0.04967697,0.009348731,0.398379052
210,0,11,three,7,Soybean,0.0208,1.983,16.096,0.0559,0.1935,287.9427549,1.1038,1.534,0.9673,0.0146,4.436422865,42.4190513,11.43847175,20.63806794,99.12431708,121.5931826,28.28718622,301.4371862,73.59586261,99.6247393,1.353673097,34.72912525,0.044364229,1.540730853,474.422,3.6051,47.76685198,64.66070247,0.130666667,0.414333333,4.599923333,0.669106667,4.60E-06,6.69E-07,4.60E-05,6.69E-06,0.231967894,0.033742142,0.000259614,3.72E-05,0.259614211,0.259614211,104.8915784,0.002475072,0.002475072,0.004950144,0.519228422,0.337001379,0.372814454,0.051425776,0.040574409,0.46481464
630,30,12,three,7,Soybean,0.018,1.853,32.551,0.0904,0.3569,360.0774336,1.1505,1.58,0.8349,0.012,4.626830234,40.64692852,14.86447898,23.77042685,79.720665,128.0926148,26.43376041,299.5837604,69.83327525,117.1238536,1.677192616,27.77180425,0.046268302,1.284954235,557.283,3.5654,54.34689682,91.15021403,0.113333333,0.346,3.82674,0.65148,3.83E-06,6.51E-07,3.83E-05,6.51E-06,0.20651592,0.035158122,0.000231129,3.87E-05,0.231128829,0.231128829,97.13977334,0.002379343,0.002379343,0.004758686,0.462257658,0.359746398,0.424170902,0.072493343,0.037399928,0.534064173
630,50,9,three,7,Soybean,0.0143,1.846,50.223,0.1002,0.4786,501.2275449,1.1074,1.4475,0.488,0.0067,5.674455663,43.4349787,13.62677474,18.1406547,93.40459337,99.18867394,27.08639414,300.2363941,77.12755214,87.18107697,1.130349331,19.95101846,0.056744557,1.132111697,639.01,3.0429,68.12715774,77.00748718,0.129333333,0.415,4.61265,0.63624,4.61E-06,6.36E-07,4.61E-05,6.36E-06,0.249872698,0.034465872,0.000279653,3.80E-05,0.279652939,0.279652939,77.46478873,0.003610065,0.003610065,0.00722013,0.559305878,0.494037717,0.531724158,0.061245387,0.04626879,0.639238335
